date	uid	event	value	timestamp
2013-02-01	121	visit	2	1359657093000
2013-02-01	18344	install.	5	1359657473244
2013-02-01	18246	install.	5	1359657406720
2013-02-01	38	visit	0	1359657155000
2013-02-01	18102	visit	1	1359657358542
2013-02-01	18102	visit	3	1359657356769
2013-02-01	18329	visit	6	1359657318503
2013-02-01	18246	visit	8	1359657373896
2013-02-01	123	visit	8	1359657261000
2013-02-01	4205	visit	1	1359657227000
2013-02-01	38	visit	9	1359656934000
2013-02-01	18376	visit	6	1359657593239
2013-02-01	18228	visit	4	1359657366000
2013-02-01	18344	visit	6	1359657464487
2013-02-01	18102	install.	9	1359657356515
2013-02-01	427	visit	6	1359657470568
2013-02-01	18154	visit	7	1359657300905
2013-02-01	18246	visit	7	1359657406987
2013-02-01	18102	visit	2	1359657559946
2013-02-01	19	visit	1	1359657590670
2013-02-01	18371	visit	3	1359657303765
2013-02-01	18246	visit	3	1359657414984
2013-02-01	19	visit	7	1359657718201
2013-02-01	18382	visit	8	1359657881540
2013-02-01	18382	visit	8	1359657876775
2013-02-01	121	visit	1	1359657164000
2013-02-01	18381	visit	7	1359657884689
2013-02-01	18382	install.	9	1359657881275
2013-02-01	18238	visit	1	1359657786866
2013-02-01	18379	visit	7	1359657755558
2013-02-01	18383	visit	7	1359657963794
2013-02-01	18384	install.	4	1359658149274
2013-02-01	15383	visit	0	1359657975000
2013-02-01	18384	visit	4	1359658149543
2013-02-01	1903	visit	3	1359657921000
2013-02-01	18330	visit	5	1359658151201
2013-02-01	427	visit	4	1359657732000
2013-02-01	123	visit	5	1359657928835
2013-02-01	18107	visit	5	1359657951711
2013-02-01	18284	install.	6	1359657988125
2013-02-01	18238	visit	6	1359657847000
2013-02-01	18169	visit	7	1359658199326
2013-02-01	18341	visit	3	1359658060400
2013-02-01	670	visit	8	1359657825000
2013-02-01	366	visit	0	1359657664000
2013-02-01	123	visit	4	1359657962000
2013-02-01	18325	visit	3	1359657948000
2013-02-01	18330	visit	5	1359658149461
2013-02-01	18203	visit	0	1359658071837
2013-02-01	18093	visit	1	1359657953799
2013-01-31	123	visit	7	1359647989000
2013-02-01	18341	visit	5	1359658383074
2013-02-01	121	visit	3	1359658223000
2013-02-01	121	visit	0	1359658205000
2013-02-01	18342	install.	5	1359658354423
2013-02-01	1615	visit	8	1359658262375
2013-02-01	18281	visit	2	1359658092000
2013-02-01	18387	install.	5	1359658469564
2013-02-01	18386	visit	3	1359658364862
2013-02-01	18169	visit	1	1359658207677
2013-02-01	18164	visit	5	1359658418642
2013-02-01	18387	visit	2	1359658474871
2013-02-01	18163	visit	4	1359658584989
2013-02-01	18390	install.	7	1359658789270
2013-02-01	18388	visit	3	1359658725052
2013-02-01	18390	visit	9	1359658791174
2013-02-01	18383	visit	9	1359658554104
2013-02-01	18391	visit	0	1359658559563
2013-02-01	329	visit	4	1359658462000
2013-02-01	18203	visit	1	1359658500108
2013-02-01	18392	visit	9	1359658753548
2013-02-01	18203	visit	8	1359658612117
2013-02-01	18393	uninstall.	9	1359658617113
2013-02-01	18390	install.	9	1359658729334
2013-02-01	18383	visit	5	1359658557553
2013-02-01	38	visit	0	1359658332000
2013-02-01	18390	visit	6	1359658869755
2013-02-01	18390	install.	6	1359658869491
2013-02-01	18390	visit	2	1359658862167
2013-02-01	18390	install.	9	1359658859668
2013-02-01	123	visit	7	1359658534000
2013-02-01	18246	visit	9	1359654945000
2013-02-01	18390	visit	1	1359658930228
2013-02-01	123	visit	5	1359658737000
2013-02-01	121	visit	9	1359659123000
2013-02-01	18227	visit	6	1359659004000
2013-02-01	18395	visit	5	1359659362608
2013-02-01	18118	visit	3	1359659403116
2013-02-01	38	visit	4	1359659388984
2013-02-01	18152	visit	1	1359659162679
2013-02-01	38	visit	1	1359658790000
2013-02-01	18170	visit	3	1359659045000
2013-02-01	123	visit	0	1359659253861
2013-02-01	18395	visit	8	1359659389192
2013-02-01	18190	visit	2	1359659217000
2013-02-01	18118	visit	3	1359659261387
2013-02-01	38	visit	8	1359659214000
2013-02-01	18394	visit	1	1359659386555
2013-02-01	1070	visit	7	1359659158000
2013-02-01	1259	visit	1	1359658932000
2013-02-01	427	visit	6	1359649981000
2013-02-01	18397	visit	2	1359659652209
2013-02-01	17411	visit	8	1359659361000
2013-02-01	18314	visit	4	1359659571743
2013-02-01	18341	visit	2	1359659666295
2013-02-01	18397	install.	5	1359659651952
2013-02-01	18087	visit	4	1359659654456
2013-02-01	18341	install.	4	1359659665988
2013-02-01	18185	visit	9	1359659278000
2013-02-01	18399	visit	3	1359659590550
2013-02-01	18314	visit	8	1359659574126
2013-02-01	121	visit	8	1359659053000
2013-02-01	18399	install.	0	1359659588480
2013-02-01	1259	visit	7	1359659451000
2013-01-31	121	visit	2	1359584827000
2013-02-01	18295	visit	6	1359659969457
2013-02-01	427	visit	6	1359659739000
2013-02-01	18087	install.	1	1359659998252
2013-02-01	18087	visit	9	1359659998517
2013-02-01	18128	visit	2	1359659721000
2013-02-01	18401	visit	7	1359659936845
2013-02-01	38	visit	0	1359659796000
2013-02-01	18102	visit	2	1359659844915
2013-02-01	18401	visit	7	1359659726366
2013-02-01	18394	visit	0	1359659789687
2013-02-01	427	visit	4	1359659763932
2013-02-01	427	visit	2	1359659840653
2013-02-01	123	visit	5	1359659786000
2013-02-01	18087	visit	4	1359660000761
2013-02-01	18406	uninstall.	4	1359660022195
2013-02-01	18403	install.	5	1359660194765
2013-02-01	18402	visit	0	1359660108530
2013-01-30	121	visit	1	1359539676000
2013-02-01	38	visit	0	1359659860000
2013-02-01	123	visit	8	1359659876000
2013-02-01	18405	visit	8	1359660248129
2013-02-01	18402	visit	7	1359660105992
2013-02-01	18283	install.	3	1359660487848
2013-02-01	123	visit	3	1359660322000
2013-02-01	18365	uninstall.	0	1359660573196
2013-01-31	427	visit	6	1359637653000
2013-02-01	18127	visit	9	1359660358099
2013-02-01	18400	install.	9	1359660507200
2013-02-01	18407	install.	6	1359660745870
2013-02-01	18190	uninstall.	6	1359660699663
2013-02-01	18129	install.	8	1359660604961
2013-02-01	18283	uninstall.	3	1359660824123
2013-02-01	18128	visit	3	1359660606629
2013-02-01	18226	visit	9	1359660668000
2013-02-01	942	visit	5	1359660859942
2013-02-01	18300	visit	9	1359660710000
2013-02-01	121	visit	3	1359660758000
2013-02-01	18411	install.	5	1359661067467
2013-02-01	18191	install.	7	1359661040239
2013-02-01	18244	visit	1	1359660950205
2013-02-01	575	visit	1	1359660956000
2013-02-01	18411	visit	0	1359661070103
2013-02-01	18247	visit	3	1359661199000
2013-02-01	18413	visit	7	1359661245995
2013-02-01	427	visit	5	1359661110000
2013-02-01	19	visit	7	1359661443100
2013-02-01	19	visit	5	1359661276326
2013-02-01	18415	uninstall.	6	1359661365631
2013-02-01	38	visit	3	1359661128000
2013-02-01	18210	visit	6	1359661409191
2013-02-01	38	visit	4	1359661263000
2013-02-01	18414	visit	9	1359661265383
2013-02-01	366	visit	2	1359661130000
2013-02-01	18413	install.	8	1359661231150
2013-02-01	18329	visit	2	1359661372598
